index,puzzleType,puzzle,structure,difficulty,numAttempts,lines,unfamMethods,structContent,uniqueStmts,nestingDepth,numConst,stmtsInLock,stmtsAfterLock,constructsInLock,constructsAfterLock,numAttempts,nestingDepth_1,uniqueConstructs,numStatements,isRepeat,isRepeatInt,isDoInOrder,isIntegrative,avgLoad,avgPlayMine,CCnt,CbCeCnt,CbTeCnt,TCnt,TbCeCnt,TbCObTeeCnt,TbCOeCnt,TbObCeeCnt,TbObTeeCnt,TbOeCnt,CbTbCeeCnt
7,doinorder,doinorder-a.lgp,TbOe,1,28,9,3,1,5,2,2,0,7,1,1,28,2,2,7,0,0,1,0,-1.538461538,3.535714286,0,0,0,0,0,0,0,0,0,1,0
2,doinorder,doinorder-b.lgp,TbOe,2,35,10,6,0,8,2,2,1,7,0,2,35,2,2,8,0,0,1,0,0.742857143,6.028571429,0,0,0,0,0,0,0,0,0,1,0
15,doinorder,doinorder-d.lgp,TbOe,3,28,9,4,1,5,2,2,0,7,0,2,27,2,2,6,0,0,1,0,-1.407407407,5.703703704,0,0,0,0,0,0,0,0,0,1,0
8,doinorder,doinorder-f.lgp,TbOe,1,30,9,1,2,3,2,2,0,7,1,1,24,2,2,7,0,0,1,0,-1.333333333,3.041666667,0,0,0,0,0,0,0,0,0,1,0
4,doinorder,doinorder-g.lgp,TbOe,2,27,8,3,0,6,2,2,1,5,0,2,18,3,2,5,0,0,1,0,3,12.83333333,0,0,0,0,0,0,0,0,1,0,0
9,doinorder,doinorder-k.lgp,TbOe,1,29,8,1,1,4,2,2,0,6,1,1,21,2,2,7,0,0,1,0,-1.523809524,2.761904762,0,0,0,0,0,0,0,0,0,1,0
5,doinorder,doinorder-l.lgp,TbOe,1,24,9,2,1,4,2,2,0,7,1,1,32,2,2,5,0,0,1,0,1.516129032,6.71875,0,0,0,0,0,0,0,0,0,1,0
20,doinorder,doinorder-m.lgp,TbObTee,5,18,8,3,0,5,3,3,0,5,1,2,32,2,2,9,0,0,1,0,0.407407407,7.8125,0,0,0,1,0,0,0,0,0,1,0
17,doinorder,doinorder-n.lgp,TbOe,1,24,6,2,0,4,2,2,0,4,1,1,33,3,2,6,0,0,1,0,0.939393939,6.272727273,0,0,0,0,0,0,0,0,1,0,0
13,doinorder,doinorder-o.lgp,TbOe,2,52,11,2,0,8,2,3,1,7,0,3,17,3,2,10,0,0,1,0,-1.0625,2.764705882,0,0,0,0,0,0,0,0,1,0,0
10,doinorder,doinorder-p.lgp,TbOe,3,21,9,0,1,4,2,2,0,7,0,2,18,3,2,5,0,0,1,0,-0.588235294,7.666666667,0,0,0,0,0,0,0,0,1,0,0
6,doinorder,doinorder-q.lgp,TbOe,3,32,7,4,0,5,2,2,0,5,0,2,30,2,2,10,0,0,1,0,-1.033333333,3.5,0,0,0,1,0,0,0,0,0,1,0
1,doinorder,doinorder-r.lgp,TbOe,4,32,12,2,1,8,2,3,0,9,0,3,33,2,2,9,0,0,1,0,0.96875,7.272727273,0,0,0,1,0,0,0,0,0,1,0
18,doinorder,doinorder-s.lgp,TbObTee,4,33,9,0,1,5,3,3,0,6,2,1,25,2,2,12,0,0,1,0,-1.76,1.88,0,0,0,1,0,0,0,0,0,1,0
14,doinorder,doinorder-t.lgp,TbObTee,5,17,13,1,2,4,3,3,0,10,2,1,22,3,2,6,0,0,1,0,1.272727273,5.090909091,0,0,0,0,0,0,0,0,1,0,0
11,doinorder,doinorder-u.lgp,TbObTee,6,18,8,0,1,4,3,3,0,5,0,3,36,1,1,7,0,0,0,0,-2.685714286,1.833333333,0,0,0,1,0,0,0,0,0,0,0
3,doinorder,doinorder-w.lgp,TbOe,2,30,13,2,1,8,2,3,0,10,0,3,34,1,1,6,0,0,0,0,-1.382352941,3.911764706,0,0,0,1,0,0,0,0,0,0,0
19,doinorder,doinorder-x.lgp,TbOe,3,33,12,0,3,5,2,3,0,9,0,3,35,1,1,6,0,0,0,0,-2.285714286,2.342857143,0,0,0,2,0,0,0,0,0,0,0
16,doinorder,doinorder-y.lgp,TbOe,4,25,15,0,3,3,2,3,0,12,0,3,38,1,1,7,0,0,0,0,-1.135135135,4.447368421,0,0,0,2,0,0,0,0,0,0,0
12,doinorder,doinorder-z.lgp,TbObTee,5,22,9,0,2,4,3,3,0,6,1,2,35,1,1,6,0,0,0,0,-0.914285714,4.285714286,0,0,0,2,0,0,0,0,0,0,0
24,dotogether,dotogether-a.lgp,T,2,36,8,0,1,5,1,1,0,7,0,1,27,1,1,6,0,0,0,0,-2,2.703703704,0,0,0,3,0,0,0,0,0,0,0
38,dotogether,dotogether-b.lgp,T,2,38,6,1,0,5,1,1,0,5,0,1,43,1,1,9,0,0,0,0,-0.12195122,5.11627907,0,0,0,3,0,0,0,0,0,0,0
34,dotogether,dotogether-c.lgp,T,3,34,7,2,0,6,1,1,0,6,0,1,36,1,1,8,0,0,0,0,-1.235294118,4.361111111,0,0,0,2,0,0,0,0,0,0,0
30,dotogether,dotogether-d.lgp,T,3,35,8,0,0,6,1,2,0,6,0,2,30,1,1,9,0,0,0,0,-0.896551724,3,0,0,0,2,0,0,0,0,0,0,0
27,dotogether,dotogether-e.lgp,T,3,38,9,3,0,7,1,2,0,7,0,2,31,1,1,9,0,0,0,0,-0.483870968,5.709677419,0,0,0,2,0,0,0,0,0,0,0
25,dotogether,dotogether-f.lgp,T,4,35,8,2,0,6,1,2,0,6,0,2,38,1,1,6,0,0,0,0,-2.236842105,3.210526316,0,0,0,1,0,0,0,0,0,0,0
21,dotogether,dotogether-g.lgp,T,5,27,9,1,1,5,1,3,0,6,0,3,38,1,1,6,0,0,0,0,-2.605263158,1.921052632,0,0,0,2,0,0,0,0,0,0,0
36,dotogether,dotogether-h.lgp,T,6,43,12,5,0,9,1,3,0,9,0,3,34,1,1,5,0,0,0,0,-3.176470588,1.264705882,0,0,0,1,0,0,0,0,0,0,0
32,dotogether,dotogether-i.lgp,T,4,36,10,4,1,7,1,2,0,8,0,2,38,1,1,5,0,0,0,0,-0.777777778,5.236842105,0,0,0,1,0,0,0,0,0,0,0
28,dotogether,dotogether-j.lgp,T,5,30,11,7,1,8,1,2,0,9,0,2,34,0,0,6,0,0,0,0,-1.909090909,2.823529412,0,0,0,0,0,0,0,0,0,0,0
26,dotogether,dotogether-k.lgp,T,5,31,11,4,1,8,1,2,0,9,0,2,31,0,0,8,0,0,0,0,-0.064516129,6.612903226,0,0,0,0,0,0,0,0,0,0,0
23,dotogether,dotogether-l.lgp,T,4,38,7,1,0,6,1,1,0,6,0,1,39,0,0,6,0,0,0,0,-2.305555556,1.897435897,0,0,0,0,0,0,0,0,0,0,0
37,dotogether,dotogether-m.lgp,T,2,38,8,1,2,4,1,2,0,6,0,2,20,3,2,7,0,0,0,1,0.578947368,6.95,0,0,0,0,0,0,0,0,1,0,0
33,dotogether,dotogether-n.lgp,T,2,34,6,1,1,4,1,1,0,5,0,1,16,3,2,8,0,0,0,1,0.1875,6.0625,0,0,0,0,0,0,0,0,1,0,0
29,dotogether,dotogether-o.lgp,T,2,38,6,2,0,5,1,1,0,5,0,1,14,3,2,4,0,0,0,1,-1.785714286,3.571428571,0,0,0,0,0,0,0,0,1,0,0
35,dotogether,sequential-c.lgp,T,1,31,6,3,0,6,0,0,0,6,0,0,32,2,2,6,0,1,0,0,0.774193548,6.5625,0,0,0,1,1,0,0,0,0,0,0
82,dotogether,sequential-d.lgp,T,1,34,8,6,0,8,0,0,0,8,0,0,29,2,2,9,0,1,0,0,-1.107142857,3.689655172,0,0,0,1,1,0,0,0,0,0,0
31,dotogether,sequential-g.lgp,T,1,39,6,0,0,6,0,0,0,6,0,0,29,2,3,9,0,1,0,0,0.137931034,6.689655172,0,0,1,0,1,0,0,0,0,0,0
44,integrative,doinorder-bb.lgp,TbObTee,1,20,10,1,2,5,3,3,2,5,1,2,28,2,2,7,0,0,1,0,-0.222222222,4.892857143,0,0,0,0,0,0,0,0,0,1,0
40,integrative,doinorder-cc.lgp,TbObTee,1,16,11,2,2,5,2,3,0,8,0,3,30,2,2,7,0,0,1,0,-2.928571429,1.733333333,0,0,0,0,0,0,0,0,0,1,0
47,integrative,doinorder-e.lgp,TbObTee,1,14,7,0,1,3,3,3,0,4,0,3,29,2,2,6,0,0,1,0,-2.931034483,1.379310345,0,0,0,0,0,0,0,0,0,1,0
55,integrative,doinorder-h.lgp,TbObTee,1,19,12,2,0,8,3,4,0,8,0,4,24,2,2,4,0,0,1,0,-0.47826087,8,0,0,0,0,0,0,0,0,0,1,0
49,integrative,doinorder-j.lgp,TbObTee,1,16,11,3,0,8,3,3,0,8,1,2,52,2,2,8,0,0,1,0,2.727272727,5.788461538,0,0,0,1,0,0,0,0,0,1,0
43,integrative,doinorder-v.lgp,TbObTee,1,12,8,1,2,3,3,3,0,5,2,1,38,1,1,5,0,0,0,0,-2.5,2.052631579,0,0,0,1,0,0,0,0,0,0,0
51,integrative,integrative-a.lgp,TbCOe,5,8,9,3,0,6,2,3,1,6,0,3,19,3,2,8,0,0,0,1,0.882352941,6.105263158,0,0,0,1,0,0,0,0,1,0,0
48,integrative,integrative-b.lgp,TbOe,3,8,10,3,0,6,2,4,2,4,0,4,16,3,2,8,0,0,0,1,-0.6875,5.3125,0,0,0,0,0,0,0,0,1,0,0
45,integrative,integrative-c.lgp,TbOe,4,11,10,3,0,7,3,3,1,6,0,3,12,3,2,5,0,0,0,1,-0.75,3.833333333,0,0,0,0,0,0,0,0,1,0,0
39,integrative,integrative-d.lgp,TbCObTee,6,4,10,2,1,5,3,4,3,3,0,4,8,2,3,6,0,0,0,1,-1,5.5,0,0,0,0,0,0,1,0,0,0,0
56,integrative,integrative-e.lgp,TbOe,3,9,11,0,1,6,2,4,2,5,0,4,8,2,3,6,0,0,0,1,-2.625,1.5,0,0,1,0,0,0,0,0,0,1,0
52,integrative,integrative-f.lgp,TbCOe,4,10,10,2,1,5,2,3,0,7,0,3,11,2,3,7,0,0,0,1,-0.818181818,4.090909091,1,0,0,0,0,0,0,0,0,1,0
50,integrative,integrative-g.lgp,TbObCee,5,13,8,3,0,5,3,3,0,5,1,2,4,3,3,6,0,0,0,1,5,6.25,0,0,0,0,0,1,0,0,0,0,0
46,integrative,integrative-h.lgp,TbOe,3,14,12,2,1,8,2,3,2,7,1,2,9,2,3,7,0,0,0,1,-1.555555556,2.111111111,0,0,0,0,1,0,0,0,0,1,0
41,integrative,integrative-i.lgp,TbCOe,4,10,8,4,0,5,2,3,2,3,0,3,10,2,3,7,0,0,0,1,-1.125,3.1,0,0,0,0,0,0,1,0,0,0,0
54,integrative,repeat-bb.lgp,CbTe/TbCe,2,13,13,3,2,7,2,4,0,9,0,4,13,2,3,9,0,0,0,1,-0.769230769,8.692307692,0,0,1,0,1,0,0,0,0,0,0
75,integrative,repeat-t.lgp,CbTe/TbCe,2,14,12,4,0,8,2,4,0,8,2,2,28,2,2,8,0,1,0,0,-2.428571429,2.142857143,0,0,1,1,0,0,0,0,0,0,0
57,integrative,repeat-u.lgp,TbObTee,2,11,10,3,0,7,3,3,0,7,0,3,30,2,2,8,0,1,0,0,-0.068965517,6.166666667,0,0,0,1,1,0,0,0,0,0,0
62,repeat,repeat-a.lgp,C,3,38,9,7,0,7,1,2,0,7,0,2,13,3,3,5,0,0,0,1,-0.181818182,2.153846154,0,0,0,0,0,0,0,1,0,0,0
60,repeat,repeat-b.lgp,C,3,34,10,5,1,7,1,2,0,8,0,2,10,2,3,5,0,0,0,1,-2.3,3.2,0,0,0,0,0,0,1,0,0,0,0
58,repeat,repeat-c.lgp,CbCe,5,36,9,6,0,7,2,2,1,6,0,2,1,3,3,5,0,0,0,1,-1,10,0,0,0,0,0,0,0,0,0,0,1
71,repeat,repeat-cc.lgp,CbCe,4,40,6,1,1,3,2,2,0,4,0,2,14,2,3,9,0,0,0,1,-0.285714286,6.142857143,0,0,1,0,1,0,0,0,0,0,0
69,repeat,repeat-dd.lgp,CbCe,4,58,9,4,0,7,2,2,0,7,0,2,11,3,2,7,0,0,0,1,-0.818181818,5.454545455,0,0,0,0,0,0,0,0,1,0,0
70,repeat,repeat-e.lgp,C,2,39,7,2,0,6,1,1,0,6,0,1,38,1,1,7,1,0,0,0,-1.324324324,3.421052632,2,0,0,0,0,0,0,0,0,0,0
68,repeat,repeat-ee.lgp,C,1,32,4,1,0,3,1,1,0,3,0,1,34,1,1,8,1,0,0,0,-0.205882353,4.235294118,2,0,0,0,0,0,0,0,0,0,0
64,repeat,repeat-f.lgp,C,2,46,5,0,1,2,1,1,0,4,0,1,36,2,1,7,1,0,0,0,0.176470588,4.972222222,0,1,0,0,0,0,0,0,0,0,0
67,repeat,repeat-ff.lgp,CbCe,6,40,6,3,0,4,2,2,0,4,0,2,40,2,2,4,1,0,0,0,0.641025641,5.225,0,1,0,0,0,0,0,0,0,0,0
61,repeat,repeat-g.lgp,C,3,38,6,2,1,3,1,2,0,4,0,2,58,2,1,7,1,0,0,0,2.8,8.724137931,0,1,0,0,0,0,0,0,0,0,0
66,repeat,repeat-gg.lgp,C,1,34,7,2,0,6,1,1,0,6,0,1,39,1,1,6,1,0,0,0,-1.864864865,3.256410256,1,0,0,0,0,0,0,0,0,0,0
42,repeat,repeat-hh.lgp,CbCe,5,42,7,3,0,5,2,2,0,5,0,2,46,1,1,4,1,0,0,0,-0.088888889,6.173913043,1,0,0,0,0,0,0,0,0,0,0
73,repeat,repeat-ii.lgp,CbCe,5,31,6,2,0,4,2,2,0,4,0,2,38,1,2,4,1,0,0,0,-1.756756757,3.473684211,2,0,0,0,0,0,0,0,0,0,0
79,repeat,repeat-m.lgp,C,2,37,7,5,0,6,1,1,0,6,0,1,31,2,2,4,1,0,0,0,1,5.451612903,0,1,0,0,0,0,0,0,0,0,0
85,repeatInt,repeat-aa.lgp,CbTe/TbCe,6,31,11,4,1,6,2,4,0,7,2,2,14,2,3,9,0,0,0,1,-2.214285714,1.928571429,1,0,0,0,0,0,0,0,0,1,0
65,repeatInt,repeat-i.lgp,CbTe,1,26,7,2,0,4,2,2,0,4,1,2,40,2,2,4,1,0,0,0,0.025641026,4.975,0,1,0,0,0,0,0,0,0,0,0
63,repeatInt,repeat-j.lgp,CbTe,1,28,6,2,1,3,2,2,0,4,1,1,34,1,1,6,1,0,0,0,-2.323529412,2.764705882,1,0,0,0,0,0,0,0,0,0,0
83,repeatInt,repeat-l.lgp,TbCe,3,31,6,2,0,4,2,2,0,4,0,2,42,2,2,5,1,0,0,0,0.048780488,5.380952381,0,1,0,0,0,0,0,0,0,0,0
59,repeatInt,repeat-n.lgp,CbTe,2,31,10,6,1,6,2,3,0,7,0,3,37,1,1,6,1,0,0,0,-2.648648649,1.756756757,1,0,0,0,0,0,0,0,0,0,0
74,repeatInt,repeat-o.lgp,CbTe,1,28,11,3,1,7,2,3,0,8,1,2,31,2,2,7,0,1,0,0,-0.096774194,5.612903226,0,0,1,0,1,0,0,0,0,0,0
84,repeatInt,repeat-p.lgp,TbCe,4,30,11,3,1,7,1,2,0,8,0,3,26,2,2,4,0,1,0,0,-0.916666667,4.461538462,1,0,1,0,0,0,0,0,0,0,0
81,repeatInt,repeat-q.lgp,TbCe,3,32,7,5,0,5,2,2,0,5,1,1,28,2,2,4,0,1,0,0,-2.464285714,1.892857143,0,0,1,0,0,0,0,0,0,0,0
80,repeatInt,repeat-r.lgp,TbCe,4,32,10,1,1,6,2,3,0,7,0,3,31,2,2,4,0,1,0,0,-0.322580645,4.838709677,0,0,0,0,1,0,0,0,0,0,0
77,repeatInt,repeat-s.lgp,CbTe/TbCe,5,18,13,4,0,9,2,4,0,9,2,2,31,2,2,7,0,1,0,0,-1.25,5.096774194,0,0,1,1,0,0,0,0,0,0,0
53,repeatInt,repeat-w.lgp,TbCe,3,32,5,2,0,4,2,2,0,3,0,2,32,2,2,5,0,1,0,0,-0.161290323,4.46875,0,0,0,0,1,0,0,0,0,0,0
78,repeatInt,repeat-x.lgp,TbCe,3,29,12,4,0,9,2,3,0,9,0,3,32,2,2,7,0,1,0,0,0.6,6.6875,0,0,0,1,1,0,0,0,0,0,0
76,repeatInt,repeat-y.lgp,TbCe,4,32,9,5,0,6,2,3,0,6,0,3,18,2,2,9,0,1,0,0,0.666666667,10.11111111,0,0,1,0,1,0,0,0,0,0,0
72,repeatInt,repeat-z.lgp,CbTe/TbCe,5,29,13,2,0,9,2,4,0,9,2,2,32,2,2,3,0,1,0,0,-0.3,4.875,0,0,0,0,1,0,0,0,0,0,0